,name,id,latitude,longitude,altitude,velocity,visibility,footprint,timestamp,daynum,solar_lat,solar_lon,units
0,iss,25544,-48.354824486088,80.038004849061,439.71877333248,27526.725341083,eclipsed,4606.4532241889,2021-10-13 20:43:57,2459501.3638542,-8.097261173195,225.54120046936,kilometers
0,iss,25544,-47.593673082697,82.654300418394,439.4069020189,27527.364131437,eclipsed,4604.9078692159,2021-10-13 20:44:28,2459501.364213,-8.0973946752314,225.41201279247,kilometers
0,iss,25544,-46.768669471382,85.18912581025,439.0641816127,27528.073879411,eclipsed,4603.208918533,2021-10-13 20:44:59,2459501.3645718,-8.0975281772017,225.28282494822,kilometers
0,iss,25544,-45.912922787961,87.563407061223,438.70441820824,27528.826193972,eclipsed,4601.424652266,2021-10-13 20:45:29,2459501.364919,-8.0976573722813,225.15780459467,kilometers
0,iss,25544,-44.972910374624,89.935190595925,438.30504588067,27529.66888323,eclipsed,4599.4429474664,2021-10-13 20:46:00,2459501.3652778,-8.0977908736025,225.02861691865,kilometers
0,iss,25544,-43.979762254317,92.224624128411,437.87914423675,27530.575383042,eclipsed,4597.328446807,2021-10-13 20:46:31,2459501.3656366,-8.0979243746819,224.89942924292,kilometers
0,iss,25544,-42.971315491441,94.363088560408,437.4432750929,27531.510809079,eclipsed,4595.1632226641,2021-10-13 20:47:01,2459501.3659838,-8.0980535690639,224.7744088902,kilometers
0,iss,25544,-41.88358386493,96.495071992901,436.97006909315,27532.534699619,eclipsed,4592.8111048946,2021-10-13 20:47:32,2459501.3663426,-8.0981870696673,224.64522121504,kilometers
0,iss,25544,-40.752587944038,98.550448849391,436.47547465423,27533.613804011,daylight,4590.3510923374,2021-10-13 20:48:03,2459501.3667014,-8.0983205700287,224.51603354016,kilometers
0,iss,25544,-39.619741054496,100.46924167132,435.97824342022,27534.707684138,daylight,4587.8763329433,2021-10-13 20:48:33,2459501.3670486,-8.0984497637187,224.39101318828,kilometers
0,iss,25544,-38.412316227371,102.38237959197,435.44711902954,27535.886067952,daylight,4585.2310741652,2021-10-13 20:49:04,2459501.3674074,-8.0985832637771,224.2618253463,kilometers
0,iss,25544,-37.170156283405,104.22799587602,434.90037032294,27537.109923984,daylight,4582.5060418017,2021-10-13 20:49:35,2459501.3677662,-8.0987167634233,224.13263767229,kilometers
0,iss,25544,-35.937394269475,105.95297871718,434.35830603709,27538.334320696,daylight,4579.8023935886,2021-10-13 20:50:05,2459501.3681134,-8.098845956413,224.00761732122,kilometers
0,iss,25544,-34.634175452969,107.67567573001,433.78681266701,27539.637422731,daylight,4576.9498413871,2021-10-13 20:50:36,2459501.3684722,-8.0989794555804,223.87842964777,kilometers
0,iss,25544,-33.303327252197,109.34102016183,433.20585661544,27540.975457838,daylight,4574.0478216631,2021-10-13 20:51:07,2459501.368831,-8.0991129545086,223.74924197462,kilometers
0,iss,25544,-31.9910783117,110.90125950139,432.63663221159,27542.300136765,daylight,4571.2022141963,2021-10-13 20:51:37,2459501.3691782,-8.0992421468062,223.62422162439,kilometers
0,iss,25544,-30.611854591192,112.46368472412,432.04326753265,27543.696166704,daylight,4568.2336149261,2021-10-13 20:52:08,2459501.369537,-8.0993756452555,223.49503395179,kilometers
0,iss,25544,-29.210828343714,113.97872667836,431.44676077323,27545.116155487,daylight,4565.2469121237,2021-10-13 20:52:39,2459501.3698958,-8.0995091436386,223.36584611183,kilometers
0,iss,25544,-27.835856373386,115.40279002995,430.86850529949,27546.509632587,daylight,4562.3493073399,2021-10-13 20:53:09,2459501.3702431,-8.0996383352385,223.24082576242,kilometers
0,iss,25544,-26.396834685115,116.83382870306,430.27199767521,27547.965873101,daylight,4559.3578792715,2021-10-13 20:53:40,2459501.3706019,-8.0997718329698,223.11163809068,kilometers
0,iss,25544,-24.940784111085,118.22666970144,429.67858283177,27549.43503192,daylight,4556.3795755755,2021-10-13 20:54:11,2459501.3709606,-8.0999053304618,222.98245041924,kilometers
0,iss,25544,-23.516818069873,119.5409278399,429.10917502098,27550.865642598,daylight,4553.5195199318,2021-10-13 20:54:41,2459501.3713079,-8.1000345213668,222.85743007066,kilometers
0,iss,25544,-22.031296746754,120.86692195438,428.52775302438,27552.349553715,daylight,4550.5968491687,2021-10-13 20:55:12,2459501.3716667,-8.1001680183827,222.72824239979,kilometers
0,iss,25544,-20.532689912035,122.1629599414,427.95532789996,27553.835647839,daylight,4547.7171589094,2021-10-13 20:55:43,2459501.3720255,-8.1003015151538,222.5990547292,kilometers
0,iss,25544,-19.071076789655,123.39108891194,427.41170022138,27555.272596601,daylight,4544.9802736672,2021-10-13 20:56:13,2459501.3723727,-8.1004307053693,222.47403438146,kilometers
